0,15
4,24
5,35
9,54
11,54
13,66
18,71
20,101
21,109
24,112
27,115
30,121
35,127
37,127
39,127
41,129
44,135
46,144
57,152
61,176
64,192
66,217
68,244
70,249
81,364
83,385
85,441
95,544
97,557
101,626
103,664
107,706
109,717
112,745
115,786
118,814
122,909
125,953
127,1009
130,1070
132,1134
137,1176
139,1299
142,1371
144,1448
148,1516
155,1739
162,2364
165,2532
169,2619
173,2997
175,3075
179,3321
181,3467
183,3606
188,3953
190,4087
195,4440
197,4633
202,4983
204,5159
209,5477
212,5666
216,7606
218,7702
223,7965
225,8142
230,8688
232,8892
237,9397
239,9566
244,10018
246,10240
249,10553
250,10708
251,10708
252,10793
253,10981
256,11182
258,11256
259,11407
260,11462
263,11699
265,11775
267,12041
270,12319
271,12386
272,12386
274,12587
277,12818
278,12859
279,12861
281,13021
284,13151
285,13191
286,13191
287,13354
288,13375
291,13397
292,13397
293,13427
294,13451
295,13477
298,13503
299,13577
300,13577
301,13587
302,13602
305,13658
306,13675
307,13675
308,13686
309,13702
312,13773
313,13810
314,13810
315,13827
316,13855
319,13939
320,13955
321,13955
322,13969
323,13995
326,14068
327,14088
328,14088
329,14107
330,14109
333,14134
335,14204
336,14242
337,14263
340,14314
342,14333
343,14366
344,14379
347,14432
348,14449
349,14449
350,14514
351,14530
355,14603
356,14603
357,14631
358,14646
361,14676
362,14682
363,14682
364,14712
365,14725
366,14753
369,14764
370,14764
371,14771
376,14795
377,14794
378,14802
379,14806
382,14823
383,14831
384,14831
385,14841
386,14846
389,14856
390,14860
392,14876
393,14880
396,14890
397,14895
398,14895
399,14898
400,14902
403,14906
404,14913
405,14913
406,14918
407,14918
410,14921
411,14912
412,14922
413,14935
414,14938
417,14949
418,14957
419,14957
420,14962
421,14964
424,14967
425,14969
426,14969
427,14976
428,14981
431,14989
432,14994
433,14994
434,15001
435,15003
438,15018
