237.945,10.0
236.396,11.0
234.787,12.0
233.116,13.0
231.377,14.0
229.564,15.0
227.671,16.0
225.691,17.0
223.614,18.0
221.433,19.0
249.82,1.0
219.138,20.0
216.718,21.0
214.163,22.0
211.464,23.0
208.615,24.0
205.616,25.0
202.482,26.0
199.255,27.0
196.026,28.0
192.978,29.0
248.654,2.0
191.211,30.0
190.442,31.0
190.335,32.0
190.16,33.0
189.574,35.0
189.152,36.0
188.407,37.0
187.77,38.0
188.496,39.0
247.455,3.0
187.545,40.0
186.703,41.0
185.878,42.0
185.028,43.0
184.164,44.0
183.29,45.0
182.41,46.0
181.528,47.0
180.648,48.0
179.771,49.0
178.9,50.0
178.045,51.0
176.452,52.0
175.892,53.0
175.28,54.0
174.7,55.0
174.129,56.0
173.592,57.0
172.968,58.0
172.498,59.0
244.949,5.0
171.989,60.0
171.597,61.0
171.282,62.0
171.054,63.0
170.923,64.0
170.919,65.0
171.048,66.0
171.697,68.0
172.211,69.0
243.638,6.0
172.849,70.0
173.607,71.0
174.568,72.0
175.722,73.0
177.043,74.0
178.513,75.0
180.113,76.0
183.783,78.0
185.689,79.0
242.285,7.0
188.246,80.0
190.271,81.0
192.344,82.0
196.609,84.0
198.803,85.0
240.887,8.0
239.441,9.0
